description	label	name	permissionFlags	permissionGroup	protectionLevel
Allows the app to change whether a component of another app is enabled or not. Malicious apps may use this to disable important tablet capabilities. Care must be used with this permission, as it is possible to get app components into an unusable, inconsistent, or unstable state. 	enable or disable app components	android.permission.CHANGE_COMPONENT_ENABLED_STATE			signature|system
Allows an application to grant or revoke specific permissions for it or other applications. Malicious applications may use this to access features you have not granted them. 	grant or revoke permissions	android.permission.GRANT_REVOKE_PERMISSIONS			signature
Allows the app to use SurfaceFlinger low-level features.	access SurfaceFlinger	android.permission.ACCESS_SURFACE_FLINGER			signature
Allows the app to read the content of the frame buffer.	read frame buffer	android.permission.READ_FRAME_BUFFER			signature|system
Allows the app to configure and connect to Wifi displays.	configure Wifi displays	android.permission.CONFIGURE_WIFI_DISPLAY			signature
Allows the app to control low-level features of Wifi displays.	control Wifi displays	android.permission.CONTROL_WIFI_DISPLAY			signature
Allows the app to capture and redirect audio output.	capture audio output	android.permission.CAPTURE_AUDIO_OUTPUT			signature|system
Allows the app to capture audio for Hotword detection. The capture can happen in the background but does not prevent other audio capture (e.g. Camcorder).	Hotword detection	android.permission.CAPTURE_AUDIO_HOTWORD			signature|system
Allows the app to capture and redirect video output.	capture video output	android.permission.CAPTURE_VIDEO_OUTPUT			signature|system
Allows the app to capture and redirect secure video output.	capture secure video output	android.permission.CAPTURE_SECURE_VIDEO_OUTPUT			signature|system
Allows the app to control media playback and access the media information (title, author...).	control media playback and metadata access	android.permission.MEDIA_CONTENT_CONTROL			signature|system
Allows the app to disable the entire tablet permanently. This is very dangerous.	permanently disable tablet	android.permission.BRICK			signature
Allows the app to force the tablet to reboot.	force tablet reboot	android.permission.REBOOT			signature|system
Allows the app to turn the tablet on or off.	power tablet on or off	android.permission.DEVICE_POWER			signature
		android.permission.NET_TUNNELING		android.permission-group.SYSTEM_TOOLS	signature
Run as a low-level manufacturer test, allowing complete access to the tablet hardware. Only available when a tablet is running in manufacturer test mode.	run in factory test mode	android.permission.FACTORY_TEST			signature
Allows the app to broadcast a notification that an app package has been removed. Malicious apps may use this to kill any other running app.	send package removed broadcast	android.permission.BROADCAST_PACKAGE_REMOVED		android.permission-group.SYSTEM_TOOLS	signature
Allows the app to broadcast a notification that an SMS message has been received. Malicious apps may use this to forge incoming SMS messages.	send SMS-received broadcast	android.permission.BROADCAST_SMS		android.permission-group.MESSAGES	signature
Allows the app to broadcast a notification that a WAP PUSH message has been received. Malicious apps may use this to forge MMS message receipt or to silently replace the content of any webpage with malicious variants.	send WAP-PUSH-received broadcast	android.permission.BROADCAST_WAP_PUSH		android.permission-group.MESSAGES	signature
Allows the app to completely reset the system to its factory settings, erasing all data, configuration, and installed apps.	reset system to factory defaults	android.permission.MASTER_CLEAR			signature|system
Allows the app to call any phone number, including emergency numbers, without your intervention. Malicious apps may place unnecessary and illegal calls to emergency services.	directly call any phone numbers	android.permission.CALL_PRIVILEGED			signature|system
Allows the app to start CDMA provisioning. Malicious apps may unnecessarily start CDMA provisioning.	directly start CDMA tablet setup	android.permission.PERFORM_CDMA_PROVISIONING			signature|system
Allows the app to enable/disable location update notifications from the radio. Not for use by normal apps.	control location update notifications	android.permission.CONTROL_LOCATION_UPDATES			signature|system
Allows the app read/write access to properties uploaded by the checkin service. Not for use by normal apps.	access checkin properties	android.permission.ACCESS_CHECKIN_PROPERTIES			signature|system
Allows the app to modify collected component usage statistics. Not for use by normal apps.	update component usage statistics	android.permission.PACKAGE_USAGE_STATS			signature|system
Allows an application to read the current low-level battery use data. May allow the application to find out detailed information about which apps you use.	read battery statistics	android.permission.BATTERY_STATS		android.permission-group.SYSTEM_TOOLS	signature|system
Allows the app to control the system\'s backup and restore mechanism. Not for use by normal apps.	control system backup and restore	android.permission.BACKUP			signature|system
Allows the app to launch the full backup confirmation UI. Not to be used by any app.	confirm a full backup or restore operation	android.permission.CONFIRM_FULL_BACKUP			signature
Allows the holder to bind to the top-level interface of a widget service. Should never be needed for normal apps.	bind to a widget service	android.permission.BIND_REMOTEVIEWS			signature|system
Allows the app to tell the system which widgets can be used by which app. An app with this permission can give access to personal data to other apps. Not for use by normal apps.	choose widgets	android.permission.BIND_APPWIDGET		android.permission-group.PERSONAL_INFO	signature|system
		android.permission.BIND_KEYGUARD_APPWIDGET		android.permission-group.PERSONAL_INFO	signature|system
		android.permission.MODIFY_APPWIDGET_BIND_PERMISSIONS		android.permission-group.SYSTEM_TOOLS	signature|system
Allows the app to change the background data usage setting.	change background data usage setting	android.permission.CHANGE_BACKGROUND_DATA_SETTING		android.permission-group.SYSTEM_TOOLS	signature
		android.permission.GLOBAL_SEARCH		android.permission-group.SYSTEM_TOOLS	signature|system
		android.permission.GLOBAL_SEARCH_CONTROL		android.permission-group.SYSTEM_TOOLS	signature
		android.permission.SET_WALLPAPER_COMPONENT		android.permission-group.SYSTEM_TOOLS	signature|system
		android.permission.READ_DREAM_STATE		android.permission-group.SYSTEM_TOOLS	signature
		android.permission.WRITE_DREAM_STATE		android.permission-group.SYSTEM_TOOLS	signature
Allows the app to read and write the cache filesystem.	access the cache filesystem	android.permission.ACCESS_CACHE_FILESYSTEM			signature|system
copy content	copy content	android.permission.COPY_PROTECTED_DATA			signature
		android.permission.CRYPT_KEEPER			signature|system
Allows the app to read historical network usage for specific networks and apps.	read historical network usage	android.permission.READ_NETWORK_USAGE_HISTORY			signature|system
Allows the app to manage network policies and define app-specific rules.	manage network policy	android.permission.MANAGE_NETWORK_POLICY			signature
Allows the app to modify how network usage is accounted against apps. Not for use by normal apps.	modify network usage accounting	android.permission.MODIFY_NETWORK_ACCOUNTING			signature|system
Allows the app to modify socket marks for routing	modify socket marks	android.permission.MARK_NETWORK_SOCKET			signature|system
		android.intent.category.MASTER_CLEAR.permission.C2D_MESSAGE			signature
Allows the app to verify a package is installable.	verify packages	android.permission.PACKAGE_VERIFICATION_AGENT			signature|system
Allows the holder to make requests of package verifiers. Should never be needed for normal apps.	bind to a package verifier	android.permission.BIND_PACKAGE_VERIFIER			signature
Allows the holder to access serial ports using the SerialManager API.	access serial ports	android.permission.SERIAL_PORT			signature|system
Allows the holder to access content providers from the shell. Should never be needed for normal apps.	access content providers externally	android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY			signature
Allows the holder to offer information to the system about when would be a good time for a noninteractive reboot to upgrade the device.	discourage automatic device updates	android.permission.UPDATE_LOCK			signatureOrSystem
Allows the app to retrieve, examine, and clear notifications, including those posted by other apps.	access notifications	android.permission.ACCESS_NOTIFICATIONS			signature|system
Allows an application to access keguard secure storage.	Access keyguard secure storage	android.permission.ACCESS_KEYGUARD_SECURE_STORAGE			signature
Allows an application to control keguard.	Control displaying and hiding keyguard	android.permission.CONTROL_KEYGUARD			signature
Allows the holder to bind to the top-level interface of a notification listener service. Should never be needed for normal apps.	bind to a notification listener service	android.permission.BIND_NOTIFICATION_LISTENER_SERVICE			signature
Allows the holder to invoke the carrier-provided configuration app. Should never be needed for normal apps.	invoke the carrier-provided configuration app	android.permission.INVOKE_CARRIER_SETUP			signature|system
Allows an application to listen for observations on network conditions. Should never be needed for normal apps.	listen for observations on network conditions	android.permission.ACCESS_NETWORK_CONDITIONS			signature|system
